Symbol,Whether ETF,Company Name,Exchange Market Place
A,False,"Agilent Technologies, Inc. Common Stock",nyse
AAL,False,"American Airlines Group, Inc. - Common Stock",nasdaq
AAP,False,Advance Auto Parts Inc.,nyse
AAPL,False,Apple Inc. - Common Stock,nasdaq
ABBV,False,AbbVie Inc. Common Stock,nyse
ABC,False,AmerisourceBergen Corporation Common Stock,nyse
ABNB,False,"Airbnb, Inc. - Class A Common Stock",nasdaq
ABT,False,Abbott Laboratories Common Stock,nyse
ACGL,False,Arch Capital Group Ltd. - Common Stock,nasdaq
ACI,False,"Albertsons Companies, Inc. Class A Common Stock",nyse
ACN,False,Accenture plc Class A Ordinary Shares (Ireland),nyse
ADBE,False,Adobe Inc. - Common Stock,nasdaq
ADI,False,"Analog Devices, Inc. - Common Stock",nasdaq
ADM,False,Archer-Daniels-Midland Company Common Stock,nyse
ADP,False,"Automatic Data Processing, Inc. - Common Stock",nasdaq
ADSK,False,"Autodesk, Inc. - Common Stock",nasdaq
AEE,False,Ameren Corporation Common Stock,nyse
AEM,False,Agnico Eagle Mines Limited Common Stock,nyse
AEP,False,"American Electric Power Company, Inc. - Common Stock",nasdaq
AES,False,The AES Corporation Common Stock,nyse
AFL,False,AFLAC Incorporated Common Stock,nyse
AFRM,False,"Affirm Holdings, Inc. - Class A Common Stock",nasdaq
AGG,True,iShares Core U.S. Aggregate Bond ETF,nysearca
AIG,False,"American International Group, Inc. New Common Stock",nyse
AIZ,False,"Assurant, Inc. Common Stock",nyse
AJG,False,Arthur J. Gallagher & Co. Common Stock,nyse
AKAM,False,"Akamai Technologies, Inc. - Common Stock",nasdaq
ALB,False,Albemarle Corporation Common Stock,nyse
ALGN,False,"Align Technology, Inc. - Common Stock",nasdaq
ALK,False,"Alaska Air Group, Inc. Common Stock",nyse
ALL,False,Allstate Corporation (The) Common Stock,nyse
ALLE,False,Allegion plc Ordinary Shares,nyse
ALLY,False,Ally Financial Inc. Common Stock,nyse
AMAT,False,"Applied Materials, Inc. - Common Stock",nasdaq
AMCR,False,Amcor plc Ordinary Shares,nyse
AMD,False,"Advanced Micro Devices, Inc. - Common Stock",nasdaq
AME,False,"AMETEK, Inc.",nyse
AMGN,False,Amgen Inc. - Common Stock,nasdaq
AMP,False,"Ameriprise Financial, Inc. Common Stock",nyse
AMT,False,American Tower Corporation (REIT) Common Stock,nyse
AMTD,False,"AMTD IDEA Group American Depositary Shares, each representing two Class A Ordinary Shares",nyse
AMZN,False,"Amazon.com, Inc. - Common Stock",nasdaq
AN,False,"AutoNation, Inc. Common Stock",nyse
ANET,False,"Arista Networks, Inc. Common Stock",nyse
ANSS,False,"ANSYS, Inc. - Common Stock",nasdaq
AON,False,Aon plc Class A Ordinary Shares (Ireland),nyse
AOS,False,A.O. Smith Corporation Common Stock,nyse
APA,False,APA Corporation - Common Stock,nasdaq
APD,False,"Air Products and Chemicals, Inc. Common Stock",nyse
APH,False,Amphenol Corporation Common Stock,nyse
APO,False,"Apollo Global Management, Inc. (New) Common Stock",nyse
APTV,False,Aptiv PLC Ordinary Shares,nyse
AR,False,Antero Resources Corporation Common Stock,nyse
ARE,False,"Alexandria Real Estate Equities, Inc. Common Stock",nyse
ARKK,True,ARK Innovation ETF,nysearca
ASML,False,ASML Holding N.V. - New York Registry Shares,nasdaq
ATO,False,Atmos Energy Corporation Common Stock,nyse
ATR,False,"AptarGroup, Inc. Common Stock",nyse
ATUS,False,"Altice USA, Inc. Class A Common Stock",nyse
ATVI,False,"Activision Blizzard, Inc - Common Stock",nasdaq
AVB,False,"AvalonBay Communities, Inc. Common Stock",nyse
AVGO,False,Broadcom Inc. - Common Stock,nasdaq
AVTR,False,"Avantor, Inc. Common Stock",nyse
AVY,False,Avery Dennison Corporation Common Stock,nyse
AWK,False,"American Water Works Company, Inc. Common Stock",nyse
AXP,False,American Express Company Common Stock,nyse
